i,Title,Author,Publisher,Subjects,ISBN Valid,isbn_clean,cover_url
10,Vieille fille : une proposition /,"Kock, Marie",La Découverte,Célibataires; Femmes; Jeunes femmes; Sociologie; Sexualité; [Récits personnels],9782348072765; 2348072769,9782348072765,
11,Rendre les élèves acteurs de leurs apprentissages /,"Béal, Yves",Delagrave,apprentissage (psychologie)--enfant; apprentissage (psychologie)--didactique--élève--enseignement,9782206013725; 220601372X,9782206013725,https://covers.openlibrary.org/b/isbn/220601372X-M.jpg?default=false
12,L'apprentissage par projets au secondaire : guide pratique pour planifier et réaliser des projets avec ses élèves /,"Larmer, John",Chenelière éducation,apprentissage (psychologie)--enseignement secondaire--pédagogie du projet; Enseignement - Méthode des projets; Enseignement secondaire; Méthodes actives; Enseignement en équipe; Enseignement - Travail de groupe,9782765033202; 276503320X,9782765033202,
13,Pour une pédagogie du projet /,"Bordalo, Isabelle",Hachette éducation,Enseignement--Méthode des projets,9782011709219; 2011709210,9782011709219,https://covers.openlibrary.org/b/id/3065674-M.jpg?default=false
14,Une classe qui coopère : pourquoi ? comment ? /,"Staquet, Christian",Chronique sociale,apprentissage (psychologie)--classe (enseignement)--coopération--élève,9782850084324; 2850084328,9782850084324,
15,Penser le projet : concepts et outils d'une pédagogie émancipatrice /,"Tilman, Francis",Chronique sociale,pédagogie de la maîtrise,2850085510; 9782850085512,2850085510,
16,Pays-Bas /,"Williams, Nicola",Lonely planet,Pays-Bas; Guides touristiques et de visite,9782816195590; 2816195597,9782816195590,
17,Amsterdam : balades urbaines /,"Vanderhaeghe, Katherine",Hachette,Amsterdam (Pays-Bas); Guides touristiques et de visite,9782016256336; 2016256338,9782016256336,https://covers.openlibrary.org/b/id/12915943-M.jpg?default=false
18,"Amsterdam : + Rotterdam, Delft et La Haye : 2024-2025 /",,Hachette Livre,"Amsterdam (Pays-Bas); Amsterdam (Pays-Bas, région); Rotterdam (Pays-Bas); Delft (Pays-Bas); La Haye (Pays-Bas); [Guides touristiques et de visite]",9782017884026; 2017884022,9782017884026,https://covers.openlibrary.org/b/id/241742-M.jpg?default=false
19,Pays-Bas,,Michelin,Pays-Bas; Guides touristiques et de visite,9782067257863; 2067257862,9782067257863,
20,Amsterdam /,"Catling, Christopher",National geographic,Amsterdam (Pays-Bas); [Guides touristiques et de visite],9782822902526; 2822902526,9782822902526,https://covers.openlibrary.org/b/id/11588440-M.jpg?default=false
21,Histoire des Etats-Unis /,"Durpaire, François",Presses Universitaires de France,États-Unis--Histoire,9782715413801; 2715413807,9782715413801,https://covers.openlibrary.org/b/id/8375037-M.jpg?default=false
22,"C'est psy ? Non, hormonal ! : comprendre ses hormones pour se sentir mieux /","Gluck, Marion",Larousse,Santé mentale; Hormones femelles; Femmes--Santé et hygiène,9782035993250; 2035993253,9782035993250,
23,C'est mon corps : toutes les questions que se posent les femmes sur leur santé /,"Winckler, Martin",L'Iconoclaste,Women's Health; Sexuality; Reproductive Physiological Phenomena; Contraception; Professional-Patient Relations; Sexualité féminine; Vie sexuelle--Femmes; Féminité; Femmes--Santé et hygiène; Gynécologie; Guides pratiques,9782378801267; 2378801262,9782378801267,
24,Le sentiment de justice dans les relations sociales /,"Kellerhals, Jean, 1941-",Presses universitaires de France,justice--relations sociales; justice distributive--relations sociales; justice sociale; équité--groupe--justice--norme sociale,2130486851; 9782130486855,2130486851,
25,S'capade pédagogique avec les jeux d'évasion : apprendre grâce aux escape games : de la maternelle à la formation d'adultes /,"Fenaert, Mélanie",Ellipses,Gamification; Apprentissage par le jeu; Jeux éducatifs; Jeux d'évasion; [Guides pratiques],9782340035461; 2340035465,9782340035461,
26,"Pays basque : France, Espagne et Navarre",,Michelin,Pays basque (Espagne); Navarre française (France); Navarre (Espagne); Pays basque (France); Guides touristiques et de visite,9782067253407; 2067253409,9782067253407,https://covers.openlibrary.org/b/id/974602-M.jpg?default=false
27,Le rapport de Brodeck /,"Larcenet, Manu",,Bandes dessinées,9782205073850; 2205073850; 9782205075403; 2205075403,9782205073850,https://covers.openlibrary.org/b/id/13874386-M.jpg?default=false
28,Hanbok /,"Darcq, Sophie, 1976-.....",L'Apocalypse,Bandes dessinées; Adoption internationale--Bandes dessinées.; Récits de voyages français--Corée--2000-....; Bandes dessinées autobiographiques--France--2000-....; Bandes dessinées autobiographiques.,2367310254; 9782367310251,2367310254,
29,Philosophia : une histoire de la philosophie en BD /,"Tenaillon, Nicolas",Ellipses,Philosophes; Philosophie; Philosophie--Histoire; Bandes dessinées,9782340027787; 2340027780,9782340027787,
30,Chaussettes : 20 modèles à tricoter toute l'année /,"Laitinen, Niina 19..-....",La Plage,Bas et chaussettes; Tricot--Modèles; Manuels d'amateurs,9782383381372; 2383381373,9782383381372,
31,Tricoter ses chaussettes : les techniques pour débuter : [+ de 20 modèles pour se lancer] /,"Johnson, Wendy",Eyrolles,Bas et chaussettes--Tricot--Modèles; Guides pratiques,9782212675504; 221267550X,9782212675504,
32,Le métier de sociologue : préalables épistémologiques /,"Bourdieu, Pierre",Éditions EHESS,Sociologues; Sociologie--Méthodologie; Sociologie--Pratique; Épistémologie de la sociologie; Sociology--Methodology; Sociologie--Méthodologie.,9782713228209; 2713228204,9782713228209,
33,Le dahlia noir /,Matz,Payot & Rivages; Casterman,Bandes dessinées,9782203045682; 220304568X,9782203045682,https://covers.openlibrary.org/b/id/9040335-M.jpg?default=false
34,Le bleu est une couleur chaude /,"Maroh, Julie",Glénat,Homosexualité; Lesbianisme; Bandes dessinées,9782723467834; 272346783X,9782723467834,https://covers.openlibrary.org/b/isbn/9782723467834-M.jpg?default=false
35,"Dictionnaire de la pensée politique : idées, doctrines et philosophes /","Nay, Olivier 1968-....",Armand Colin,Idées politiques; Philosophie politique; doctrine politique--[dictionnaire]; science politique--[dictionnaire]; philosophie politique--[dictionnaire]; Dictionnaires,9782247060009; 2247060005,9782247060009,
36,Roger et ses humains /,Paka (1985-....),Dupuis,Robots; Ouvrages pour la jeunesse; Bandes dessinées,9782800164199; 2800164190; 9782800167299; 2800167297; 9791034743629,9782800164199,https://covers.openlibrary.org/b/isbn/2800164190-M.jpg?default=false
37,"Simenon, l'Ostrogoth /","Bocquet, José-Louis",Dargaud,"Bandes dessinées; Simenon, Georges",9782505120094; 2505120099; 9782505120100; 2505120102; 9782505120117; 2505120110,9782505120094,
38,Géostratégix /,"Boniface, Pascal",Dunod,Géopolitique.; Relations internationales.; Bandes dessinées,9782100830824; 2100830821; 9782100851140; 2100851144,9782100830824,
39,Partir : sur les chemins de Compostelle /,"Sohn, Lili",Casterman,Chemins de Saint-Jacques,9782203221918; 2203221917,9782203221918,
40,Peau d'homme /,"Hubert, 1971-",Glénat,Mariages royaux et nobles--Renaissance; Différences entre sexes; Bandes dessinées,9782344010648; 2344010645,9782344010648,https://covers.openlibrary.org/b/id/10840839-M.jpg?default=false
41,Morgane /,"Fert, Stéphane",Delcourt,[Bandes dessinées],9782756070056; 275607005X,9782756070056,
42,Le monde de Sophie /,"Zabus, Vincent 1971-....",Albin Michel,Philosophie; Bandes dessinées,9782226475978; 2226475974; 9782226464378; 2226464379,9782226475978,
43,Suisse,,Michelin,Suisse; Guides touristiques et de visite,9782067261730; 2067261738,9782067261730,https://covers.openlibrary.org/b/id/14560841-M.jpg?default=false
44,Tokyo tarareba girls /,"Higashimura, Akiko 1975",Le Lézard Noir,Bandes dessinées; Mangas,9782353481903; 2353481906; 9782353481996; 235348199X; 9782353482009; 2353482007; 9782353482092; 2353482090; 9782353482191; 2353482198; 9782353482313; 2353482317; 9782353482467; 2353482465; 9782353482542; 2353482546; 9782353482573; 2353482570,9782353481903,https://covers.openlibrary.org/b/id/10533810-M.jpg?default=false
45,Yotsuba & ! /,"Azuma, Kiyohiko",Kurokawa,Mangas--Japon; Bandes dessinées; Ouvrages pour la jeunesse; Mangas,9782351420713; 2351420713; 9782351420720; 2351420721; 9782351420737; 235142073X; 9782351420744; 2351420748; 9782351421536; 2351421531; 9782351422106; 2351422104; 9782351423448; 2351423445; 9782351423950; 235142395X; 9782351425374; 2351425375; 978235142660,9782351420713,https://covers.openlibrary.org/b/id/7284494-M.jpg?default=false
46,Le monde sans fin /,"Jancovici, Jean-Marc",Dargaud,Climate Change; Environmental Health; Environment and Public Health; Energy-Generating Resources; Graphic Novel; Changements climatiques; Changement global de l'environnement; Ressources énergétiques; Vulgarisation scientifique; Transition énergétique; Réchauffement de la Terre; Bandes dessinées,9782205088168; 2205088165,9782205088168,https://covers.openlibrary.org/b/isbn/9782205088168-M.jpg?default=false
47,La Fille à la moto /,"Suzuki, Ôji",Atrabile Editions,,9782889231164; 288923116X,9782889231164,
48,Seuls en exil /,"Menor, Fabian",Helvetiq,Immigrés--Suisse; Bandes dessinées,9782940673773; 2940673772,9782940673773,https://covers.openlibrary.org/b/id/13824788-M.jpg?default=false
49,Coming in /,"Font, Elodie",Arte Editions; Editions Payot & Rivages,"Homosexuality--psychology; Homosexuality, Female--psychology; Self Concept; Graphic Novel; Homosexualité; Coming out; Acceptation de soi; Lesbianisme; Lesbiennes; Romans graphiques",9782228929097; 2228929093,9782228929097,
50,Les héros de l'étoffe : la fabuleuse histoire du textile /,"Laliberté, Séverine, 1973-",Cité sciences et industrie; Steinkis,Vêtements--Histoire; Mode--Histoire; Textiles et tissus--Histoire; Bandes dessinées,9782368465196; 2368465197,9782368465196,
51,Le bébé des Buttes-Chaumont /,"Tardi, Jacques",Casterman,Bandes dessinées,9782203013131; 2203013133,9782203013131,
52,Ascension /,"Sakamoto, Shin'ichi, 1972-",Delcourt,Bandes dessinées; Mangas,9782756016641; 2756016640; 9782756020433; 2756020435; 9782756020440; 2756020443; 9782756020457; 2756020451; 9782756020464; 275602046X; 9782756020471; 2756020478; 9782756022499; 2756022497; 9782756024851; 2756024856; 9782756024868; 2756024864; 978275602487,9782756016641,
53,Fullmetal alchemist /,"Arakawa, Hiromu, 1973-",Kurokawa,Shônen; Mangas; Bandes dessinées,9782351420171; 2351420179; 9782351420188; 2351420187; 9782351420195; 2351420195; 9782351420416; 2351420411; 2351420454; 9782351420454; 2351420462; 9782351420461; 2351420470; 9782351420478; 2351420489; 9782351420485; 2351420497; 9782351420492; 978235142147,9782351420171,https://covers.openlibrary.org/b/isbn/9782351420171-M.jpg?default=false
54,Pil /,"Yamazaki, Mari",Casterman,Bandes dessinées; Mangas,9782203066427; 2203066423,9782203066427,https://covers.openlibrary.org/b/id/8433266-M.jpg?default=false
55,Goán tau chez moi /,"Li-Chin, Li 1973-....",Çà et là,Bandes dessinées,2369902965; 9782369902966,2369902965,
56,Soixante printemps en hiver /,"Jongh, Aimée de, 1988-",Dupuis,Minorités sexuelles; Bandes dessinées,9791034747375,9791034747375,
57,Python pour les SHS : introduction à la programmation pour le traitement de données /,"Schultz, Emilien, 1987-",Presses universitaires de Rennes,Sciences humaines--Recherche--Informatique; Sciences sociales--Informatique; Python (langage de programmation); Python (Computer program language),9782753581067; 2753581061,9782753581067,
58,A silent voice /,"Oima, Yoshitoki, 1989-",Ki-oon,Surdité; Harcèlement en milieu scolaire; Mangas; Bandes dessinées,9782355927713; 2355927715; 9782355927942; 2355927944; 9782355928222; 2355928223; 9782355928390; 2355928398; 9782355928659; 2355928657; 9782355929083; 2355929084; 9782355929328; 2355929327,9782355927713,https://covers.openlibrary.org/b/isbn/9782355927942-M.jpg?default=false
59,L'appel de Néron /,"Yamazaki, Mari",Castermann,Bandes dessinées,9782203132436; 2203132434,9782203132436,
60,"Connaissez-vous vraiment Internet ? : protocoles, sécurité, censure, gouvernance... /",,Editions Eyrolles,Internet; Internet--Gestion; Internet--Droit; Systèmes informatiques--Mesures de sûreté,9782416007279; 2416007270,9782416007279,
61,Hoodoo darlin' /,"Bischoff, Léonie",KSTR-Casterman,Bandes dessinées,9782203047037; 2203047038,9782203047037,
62,Les médias en Suisse /,"Haver, Gianni",Editions Loisirs et Pédagogie,Médias--Suisse; Médias et opinion publique; Société médiatique; Médias--Histoire,9782606021603; 2606021606,9782606021603,
63,Bonjour Bonsoir /,Vamille,La Joie de lire,Bandes dessinées,9782889084517; 2889084515,9782889084517,
64,Journal inquiet d'Istanbul /,"Karabulut, Ersin",Dargaud,Bandes dessinées,9782205085761; 220508576X,9782205085761,
65,Le design des bibliothèques publiques  /,"Beudon, Nicolas",Editions Klog,Libraries; Architecture; Marchandisage; Bibliothèques publiques; Bibliothèques--Activités culturelles; Bibliothèques--Services aux publics; Bibliothèques (constructions)--Aménagement,9791092272406,9791092272406,https://covers.openlibrary.org/b/id/14604472-M.jpg?default=false
66,Contrition /,"Portela, Carlos, 1967-.....",Denoël,Délinquants sexuels; Bandes dessinées policières; Bandes dessinées,2207169456; 9782207169452,2207169456,
67,Les contraceptés : enquête sur le dernier tabou /,"Daudin, Guillaume",Steinkis,"Contraceptive Devices, Male; Contraception; Contraception masculine; Bandes dessinées; Graphic Novel",9782368464304; 2368464301,9782368464304,
68,Formose /,"Li-Chin, Li 1973-....",Cà et là,Bandes dessinées,9782916207629; 2916207627,9782916207629,
69,Les mers du Sud /,"Migoya, Hernán",Dargaud,Bandes dessinées,9782205207941; 2205207946,9782205207941,
70,Fudafudak : l'endroit qui scintille /,"Li-Chin, Li 1973-....",Cà et là,"Bandes dessinées; Amis (Taiwan people); Comic books, strips, etc.; Graphic novels; Taiwan aborigines--Social life and customs; Amis (Taiwan people)--Comic books, strips, etc.; Taiwan aborigines--Social life and customs--Comic books, strips, etc.; Comic books, strips, etc.--Taiwan.; Graphic novels--Taiwan.; Ami (Peuple de Taiwan)--Bandes dessinées.; Autochtones--Taiwan--Mœurs et coutumes--Bandes dessinées.; Romans graphiques--Taiwan.; Taiwan; Comics (Graphic works)",2369902361; 9782369902362,2369902361,
71,Les sentiments du Prince Charles /,"Strömquist, Liv 1978-....",Rackham,Relations hommes-femmes; Bandes dessinées,9782878271980; 287827198X,9782878271980,https://covers.openlibrary.org/b/isbn/287827198X-M.jpg?default=false
72,Le savoir-vivre professionnel : conseils pratiques et usages en Suisse /,"Abplanalp, Susanne",Editions Loisirs et Pédagogie,Sociologie du travail; Relations professionnelles--Suisse--20e siècle; Relations humaines; Savoir-vivre--Guides pratiques,9782606016982; 260601698X,9782606016982,
73,Le droit du travail en Suisse : 90 questions-réponses issues de la pratique /,"Schwaab, Jean Christophe, 1979-",LEP Loisirs et pédagogie,Droit du travail--Suisse; Arbeitsrecht; Arbeitsvertrag; Schweiz; Lehrmittel; Guides pratiques,9782606016135; 2606016130,9782606016135,
74,Turing à la plage : l'intelligence artificielle dans un transat /,"Guerraoui, Rachid",Dunod,"Informatique quantique; Turing, Alan; Intelligence artificielle",9782100795550; 2100795554,9782100795550,
75,GTO : great teacher onizuka /,"Fujisawa, Tohru",Pika,Bandes dessinées; Mangas,9782811609665; 2811609660; 9782811609252; 2811609253; 9782811609474; 2811609474; 9782811607319; 2811607315; 9782811609368; 2811609369; 9782811607067; 2811607064; 9782811606794; 2811606793; 9782811606626; 2811606629; 9782811606237; 2811606238; 978281160585,9782811609665,https://covers.openlibrary.org/b/id/865321-M.jpg?default=false
76,Silver spoon = La cuillère d'argent /,"Arakawa, Hiromu, 1973-",Kurokawa,Bandes dessinées; Mangas,9782351428344; 235142834X; 9782351428351; 2351428358; 9782351428856; 2351428854; 9782351428962; 235142896X; 9782351428979; 2351428978; 9782351429730; 2351429737; 9782351429747; 2351429745; 9782351429754; 2351429753; 9782368521120; 2368521127; 978236852113,9782351428344,
77,Ici /,"McGuire, Richard",Gallimard,Bandes dessinées,9782070652440; 2070652440,9782070652440,https://covers.openlibrary.org/b/id/7401081-M.jpg?default=false
78,Fullmetal alchemist /,"Arakawa, Hiromu, 1973-",Kurokawa,Bandes dessinées; Mangas,9782351427552; 2351427556; 9782351427521; 2351427521; 9782351428009; 2351428005; 9782351428016; 2351428013; 9782351428740; 2351428749; 9782351428863; 2351428862; 9782351428986; 2351428986; 9782351428993; 2351428994; 9782351429884; 2351429885; 978235142989,9782351427552,
79,La vierge de fer /,"Kishiro, Yukito",Glénat,Bandes dessinées; Mangas,9782344018415; 2344018417,9782344018415,
80,Erased /,"Sanbe, Kei",Ki-oon,Mangas; Bandes dessinées,9782355926990; 2355926999; 9782355927140; 2355927146; 9782355927430; 235592743X; 9782355927829; 2355927820; 9782355928307; 2355928304; 9782355929182; 2355929181; 9782355929762; 2355929769; 9791032700570; 9791032701799,9782355926990,https://covers.openlibrary.org/b/id/14620058-M.jpg?default=false
81,Kokkoku /,"Horio, Seita",Glénat,Bandes dessinées; Mangas,9782723498142; 272349814X; 9782723498159; 2723498158; 9782723498166; 2723498166; 9782344008300; 2344008306; 9782344008317; 2344008314; 9782344013052; 2344013059; 9782344013069; 2344013067; 9782344013076; 2344013075,9782723498142,
82,Voleuse /,"Bryon, Lucie",Sarbacane,Bandes dessinées,9782377317813; 2377317812,9782377317813,
83,L'ora del caffè : manuale di conversazione per generazioni incompatibili /,"Carofiglio, Gianrico, 1961-",Einaudi,,9788806253219; 8806253212,9788806253219,
84,Tombée d'une autre planète : d'après les aventures indécentes de Patricia Highsmith /,"Ellis, Grace 19..-....",Editions Calmann-Lévy,Bandes dessinées,9782702183311; 270218331X,9782702183311,
85,Monsieur Remarquable /,"Tokarczuk, Olga",Format,,8366789306; 9788366789302,8366789306,
86,Kimchi baguette : journal de bord d'une Coréenne en France ! /,Silki 1993-....,Dargaud,Bandes dessinées,2205207954; 9782205207958,2205207954,
87,Océan express /,"Ayroles, François",L'Association,Bandes dessinées,9782844149367; 2844149367,9782844149367,
88,Le petit robot de bois et la princesse bûche /,"Gauld, Tom",l'École des loisirs,Robots; Frères et soeurs; Livres d'images,9782211313148; 2211313140,9782211313148,
89,La mort n'est que le début... de l'enquête du médecin légiste /,"Grabherr, Silke",Favre,Médecine légale; Thanatologie; Cadavres; Forensic Medicine--trends; Autopsy--methods; Switzerland,9782828916404; 2828916405,9782828916404,https://covers.openlibrary.org/b/id/10537822-M.jpg?default=false
90,The talk : tu seras toujours un danger à leurs yeux /,"Bell, Darrin 19..-....",Julliard,Bandes dessinées; Conditions sociales--États-Unis; Noirs américains--Violence envers,9782260056072; 2260056075,9782260056072,
91,Kaiju N°8 /,"Matsumoto, Naoya",Kazé,Shônen; Mangas,9782820341075; 2820341071; 9782820342348; 2820342345; 9782820343093; 2820343090; 9782820343109; 2820343104; 9782820343116; 2820343112; 9782820343888; 2820343880; 9782820344076; 2820344070; 9782820346018; 2820346014; 9782820346216; 2820346219; 978282034648,9782820341075,https://covers.openlibrary.org/b/isbn/2820346014-M.jpg?default=false
92,Le sablier /,"Ashihara, Hinako",Kana,Bandes dessinées; Mangas,9782505002901; 2505002908; 9782505003298; 2505003297; 9782505003168; 2505003165; 9782505004073; 2505004072; 9782505004363; 2505004366; 9782505005155; 250500515X; 9782505005322; 250500532X; 9782505005612; 2505005613; 9782505006053; 2505006059; 978250500717,9782505002901,
93,Hirayasumi /,"Shinzo, Keigo, 1987-",Le Lezard noir,Mangas; Mangas.,9782353482788; 2353482783; 9782353482795; 2353482791; 9782353483334; 235348333X; 9782353483525; 2353483526; 9782353483570; 2353483577,9782353482788,
94,Que faire de l'intelligence artificielle? : petite histoire critique de la raison artificielle /,"García, Vivien 1983-....",Payot & Rivages,Intelligence artificielle,9782743659042; 2743659041,9782743659042,
95,Akane banashi /,"Suenaga, Yuki 19..-....",Ki-oon,Mangas; Mangas.,9791032715413; 9791032715420; 9791032715437; 9791032715857,9791032715413,
96,Des maux à dire /,"Lema, Beatriz 1985-....",Sarbacane,Bandes dessinées; Mères et filles; Maladies mentales; Récits personnels; Romans graphiques,9791040802396,9791040802396,https://covers.openlibrary.org/b/id/15152777-M.jpg?default=false
97,Il y a longtemps que je t'aime /,"Spénale, Marie",Casterman,Bandes dessinées,2203276509; 9782203276505,2203276509,
98,Regarde les lumières mon amour /,"Ernaux, Annie",Seuil,,9782370210371; 2370210370,9782370210371,https://covers.openlibrary.org/b/id/13270204-M.jpg?default=false
99,Peau /,"Versyp, Mieke 1965-....",Çà et là,Bandes dessinées.; Romans graphiques.,9782369903093; 2369903090,9782369903093,
100,Fruits basket : une corbeille de fruits /,"Takaya, Natsuki",Delcourt,Shojo; Bandes dessinées; Ouvrages pour la jeunesse; Mangas,2840559188; 9782840559184; 9782840559481; 284055948X; 9782840559870; 2840559870; 2847890319; 9782847890310; 2847891285; 9782847891287; 2847891439; 9782847891430; 2847891927; 9782847891928; 2847893059; 9782847893052; 2847893571; 9782847893571; 978284789406,2840559188,https://covers.openlibrary.org/b/isbn/2847890319-M.jpg?default=false
101,Orange /,"Takano, Ichigo",Akata,Mangas,9782369740315; 2369740310; 9782369740384; 2369740388; 9782369740537; 2369740531; 9782369740711; 236974071X; 9782369741121; 2369741120; 9782369742791; 2369742798; 9782382124291; 2382124296,9782369740315,https://covers.openlibrary.org/b/isbn/9782369740315-M.jpg?default=false
102,"Manifeste cyborg et autres essais : sciences, fictions, féminismes /","Haraway, Donna Jeanne",Exils Editeur,Anthropologie physique; Sciences et société; Théorie féministe; Technologie--Aspect social; féminisme--[études diverses]; culture--féminisme--nature--science--[études diverses]; Technologie; Identité sexuelle; Race,9782912969637; 2912969638,9782912969637,https://covers.openlibrary.org/b/id/8383041-M.jpg?default=false
103,Bride stories /,"Mori, Kaoru",Ki-oon,Mariage forcé--Asie centrale; Voyage; Mangas,9782355922749; 2355922748; 9782355923081; 2355923086; 9782355923371; 235592337X; 9782355924354; 235592435X; 9782355925771; 2355925771; 9782355926556; 2355926557; 9782355928635; 2355928630; 9782355929922; 2355929920; 9791032700624; 9791032702413; 979103270,9782355922749,https://covers.openlibrary.org/b/isbn/9782355923081-M.jpg?default=false
104,La littérature : une infographie /,"Gefen, Alexandre professeur de littérature 1970-....",CNRS Éditions,Littérature--Histoire.; Data visualisation.; Ouvrages illustrés.; Ouvrages de vulgarisation.,9782271138569; 2271138566,9782271138569,
105,Avec toi /,"Nishi, Keiko 19..-....",Akata,Mangas,9782369747765; 2369747765,9782369747765,
106,Adieu Eri /,"Fujimoto, Tatsuki",Crunchyroll,Mangas,9782820345943; 2820345948,9782820345943,https://covers.openlibrary.org/b/isbn/9782820345943-M.jpg?default=false
107,A schiovere : vocabolario napoletano di effetti personali /,"De Luca, Erri, 1950-",Feltrinelli,Napolitain (dialecte); Vocabulaires et manuels de conversation,880703574X; 9788807035746,880703574X,
108,Love fragrance /,"Yamada, Kintetsu 19..-....",Kana,Mangas,9782505088066; 2505088063; 9782505088073; 2505088071; 9782505088080; 250508808X; 9782505088097; 2505088098; 9782505088103; 2505088101; 9782505112587; 2505112584; 9782505112594; 2505112592; 9782505112600; 2505112606; 9782505112617; 2505112614; 978250511262,9782505088066,
109,Daido Moriyama /,"Moriyama, Daido, 1938-",Actes Sud,"Moriyama, Daido",9782330010782; 2330010788,9782330010782,
110,The ancient Magus Bride /,"Yamazaki, Koré",Komikku,Mangas; Bandes dessinées,9782372870276; 2372870270; 9782372870337; 2372870335; 9782372870528; 2372870521; 9782372870733; 2372870734; 9782372871174; 237287117X; 9782372872355; 2372872354; 9782372872362; 2372872362; 9782372873352; 2372873350; 9782372873802; 2372873806; 978237287425,9782372870276,https://covers.openlibrary.org/b/id/8745634-M.jpg?default=false
111,Love & lies /,Musawo,Pika éd,Bandes dessinées; Mangas,9782811630850; 2811630856; 9782811630867; 2811630864; 9782811630874; 2811630872; 9782811634513; 2811634517; 9782811636029; 2811636021; 9782811637651; 2811637656; 9782811643300; 2811643303; 9782811648817; 281164881X; 9782811654818; 281165481X; 978281166112,9782811630850,https://covers.openlibrary.org/b/id/10483457-M.jpg?default=false
112,Amanchu! /,"Amano, Kozue",Ki-Oon,Bandes dessinées; Mangas,9782355922459; 2355922454; 9782355922886; 2355922888; 9782355923135; 2355923132; 9782355924064; 2355924066; 9782355925344; 2355925348; 9782355926037; 2355926034; 9782355927478; 2355927472; 9782355926792; 2355926794; 9782355929601; 2355929602; 979103270221,9782355922459,https://covers.openlibrary.org/b/isbn/2355922454-M.jpg?default=false
113,Eclat(s) d'âme /,"Kamatani, Yuhki",Akata,Transidentité; Violence psychologique; Minorités sexuelles; Shônen; Mangas,9782369742739; 2369742739; 9782369743095; 2369743093; 9782369743187; 2369743182; 9782369743293; 2369743298,9782369742739,
114,Bâtard /,"Kim, Carnby 19..-....",Ki-oon,Bandes dessinées; Mangas,9791032708484; 9791032710005; 9791032710081; 9791032710180; 9791032710418,9791032708484,
115,"Amour, sexe et terre promise : reportage en Israël et Palestine /","Parent-Rachdi, Salomé",Les Arènes,Relations Juifs-Arabes; Conflit israélo-arabe; Récits personnels; Bandes dessinées,9791037511720,9791037511720,
116,Super furax /,"Bertschy, Christophe",Dupuis,Bandes dessinées,9791034732197,9791034732197,
117,La petite fille Bois-Caïman /,"Bourgeon, François",12 bis,Bandes dessinées historiques,9782356480668; 2356480668; 9782356481122; 2356481125,9782356480668,https://covers.openlibrary.org/b/id/13251234-M.jpg?default=false
118,Le sang des cerises /,"Bourgeon, François",Delcourt,Bandes dessinées historiques,9782413004080; 2413004084; 9782413030621; 241303062X,9782413004080,https://covers.openlibrary.org/b/id/13251595-M.jpg?default=false
